"fips","year","percent_transfers_no_ss"
"17001",2004,0.0340384788837932
"17001",2005,0.0373009270500384
"17001",2006,0.0373845042806539
"17001",2007,0.0369398934647712
"17001",2008,0.0480435011586265
"17001",2009,0.0544414861326999
"17001",2010,0.0603079539528318
"17001",2011,0.0547336642595753
"17001",2012,0.0452976429339829
"17001",2013,0.0449656726212776
"17001",2014,0.0432325119616006
"17001",2015,0.0442726145235859
"17001",2016,0.0434732885697608
"17003",2000,0.0971661796762673
"17003",2001,0.0971661796762673
"17003",2002,0.111422755032798
"17003",2003,0.114886139382248
"17003",2004,0.114449328331374
"17003",2005,0.117839984970074
"17003",2006,0.110408981555734
"17003",2007,0.108109789285437
"17003",2008,0.120445269743901
"17003",2009,0.132987753700595
"17003",2010,0.132356429861859
"17003",2011,0.145318896078172
"17003",2012,0.13852363229272
"17003",2013,0.132235873853287
"17003",2014,0.136263279691191
"17003",2015,0.145529401662103
"17003",2016,0.134519845737418
"17005",2000,0.0326773785881928
"17005",2001,0.0326773785881928
"17005",2002,0.0353421095618823
"17005",2003,0.0337564784335425
"17005",2004,0.0343839956624222
"17005",2005,0.0379516183670936
"17005",2006,0.0387071435548465
"17005",2007,0.0402541547283814
"17005",2008,0.0549927188498715
"17005",2009,0.0650188758760986
"17005",2010,0.0708895720028375
"17005",2011,0.0651811329528873
"17005",2012,0.0565138726890332
"17005",2013,0.0547819616332227
"17005",2014,0.0531078840972742
"17005",2015,0.0561080700475192
"17005",2016,0.0548687537999277
"17007",2000,0.0266777459670039
"17007",2001,0.0266777459670039
"17007",2002,0.0291508635797295
"17007",2003,0.0283464964708032
"17007",2004,0.0251203359807605
"17007",2005,0.0264948500741302
"17007",2006,0.0252287883448336
"17007",2007,0.0263285167572586
"17007",2008,0.0394856083846825
"17007",2009,0.0533379724827842
"17007",2010,0.0594623164949888
"17007",2011,0.0481475641346043
"17007",2012,0.0374876749770714
"17007",2013,0.0356658877132825
"17007",2014,0.0325605073147149
"17007",2015,0.033009550609289
"17007",2016,0.0322219681856686
"17009",2000,0.0324959206920969
"17009",2001,0.0324959206920969
"17009",2002,0.0340336068035599
"17009",2003,0.0323892295701534
"17009",2004,0.0301125193738636
"17009",2005,0.034045393858478
"17009",2006,0.0342935431246954
"17009",2007,0.0334074963828451
"17009",2008,0.0475903734044454
"17009",2009,0.0427313562507317
"17009",2010,0.047842208260377
"17009",2011,0.0426490546547471
"17009",2012,0.034503299594932
"17009",2013,0.0310488235629237
"17009",2014,0.0311185081290374
"17009",2015,0.033122658030936
"17009",2016,0.0319082506709122
"17011",2000,0.0271774261544083
"17011",2001,0.0271774261544083
"17011",2002,0.0305127684048323
"17011",2003,0.0320318674904548
"17011",2004,0.0267115048632053
"17011",2005,0.0301971202237436
"17011",2006,0.0307986123702119
"17011",2007,0.0301866273153572
"17011",2008,0.0417195492002502
"17011",2009,0.0513689780717983
"17011",2010,0.0588549215418513
"17011",2011,0.0480872766760923
"17011",2012,0.0400534625956365
"17011",2013,0.0364713417502184
"17011",2014,0.0367736513556602
"17011",2015,0.0386763575499288
"17011",2016,0.0383010227581401
"17013",2000,0.0355798022888552
"17013",2001,0.0355798022888552
"17013",2002,0.0358600061771543
"17013",2003,0.0354329195649668
"17013",2004,0.0325489804363647
"17013",2005,0.036479826775307
"17013",2006,0.037482500538445
"17013",2007,0.038128023575741
"17013",2008,0.0469089595461302
"17013",2009,0.0521140551286236
"17013",2010,0.0573619171791529
"17013",2011,0.0513993422649922
"17013",2012,0.0452964623254028
"17013",2013,0.0407964126347181
"17013",2014,0.0407991027935746
"17013",2015,0.0415434445852697
"17013",2016,0.0402087036168751
"17015",2000,0.0411979283327467
"17015",2001,0.0411979283327467
"17015",2002,0.0446679874379288
"17015",2003,0.0449166477850139
"17015",2004,0.0417401030746366
"17015",2005,0.0424724699171677
"17015",2006,0.0414056515888624
"17015",2007,0.0396073962123899
"17015",2008,0.0520222148418761
"17015",2009,0.0611264161892046
"17015",2010,0.066104397720687
"17015",2011,0.0540616904504155
"17015",2012,0.0490558253142482
"17015",2013,0.043423255579753
"17015",2014,0.0441618806459765
"17015",2015,0.0469728199907388
"17015",2016,0.0449729997114473
"17017",2000,0.0349942878244112
"17017",2001,0.0349942878244112
"17017",2002,0.0394144677625657
"17017",2003,0.0393038695206213
"17017",2004,0.0371712331127197
"17017",2005,0.044072249589491
"17017",2006,0.0455929410002033
"17017",2007,0.0441012521266941
"17017",2008,0.0561033945436317
"17017",2009,0.0568968186039736
"17017",2010,0.0640786989790332
"17017",2011,0.0593358816189157
"17017",2012,0.0542448847028256
"17017",2013,0.0505796301407673
"17017",2014,0.0490075162076988
"17017",2015,0.0509667732347323
"17017",2016,0.0504887309152597
"17019",2000,0.0290039448847572
"17019",2001,0.0290039448847572
"17019",2002,0.0303243685177977
"17019",2003,0.0292120477114998
"17019",2004,0.0290163584295204
"17019",2005,0.0328653147191624
"17019",2006,0.032291725175818
"17019",2007,0.0314351129279862
"17019",2008,0.0425600562067499
"17019",2009,0.0462444731362983
"17019",2010,0.0527212439779182
"17019",2011,0.0494584789564238
"17019",2012,0.0411511650982929
"17019",2013,0.03870980303658
"17019",2014,0.0376671477007016
"17019",2015,0.0380994742573451
"17019",2016,0.0393224987396387
"17021",2000,0.0341120813170771
"17021",2001,0.0341120813170771
"17021",2002,0.0370797658730074
"17021",2003,0.0357803411302164
"17021",2004,0.032568842814113
"17021",2005,0.0381408788989631
"17021",2006,0.0385961382947787
"17021",2007,0.036522376405044
"17021",2008,0.0483805394857032
"17021",2009,0.0550668682810342
"17021",2010,0.0591322748166486
"17021",2011,0.0514432815989771
"17021",2012,0.0459637427336119
"17021",2013,0.0435438416338639
"17021",2014,0.0432286360710246
"17021",2015,0.0457579194555824
"17021",2016,0.0452232549862854
"17023",2000,0.0376363489058944
"17023",2001,0.0376363489058944
"17023",2002,0.0408234498863148
"17023",2003,0.0390195592968557
"17023",2004,0.0348353597630283
"17023",2005,0.0397503813377022
"17023",2006,0.039557367987401
"17023",2007,0.0389840928454375
"17023",2008,0.0499805911183506
"17023",2009,0.0616323304184576
"17023",2010,0.063216642401327
"17023",2011,0.053916583607807
"17023",2012,0.0472917894195289
"17023",2013,0.0427782778755845
"17023",2014,0.0416570590341999
"17023",2015,0.0448604643688971
"17023",2016,0.0444204842878072
"17025",2000,0.0449755277539242
"17025",2001,0.0449755277539242
"17025",2002,0.0473198224470626
"17025",2003,0.0454288401639705
"17025",2004,0.0405128300850361
"17025",2005,0.0440196436327397
"17025",2006,0.0444836921490267
"17025",2007,0.0432484203194189
"17025",2008,0.0542710917197365
"17025",2009,0.066283868071033
"17025",2010,0.0696452936163448
"17025",2011,0.0620658992811877
"17025",2012,0.0522606236532775
"17025",2013,0.049606205467317
"17025",2014,0.0500560762388081
"17025",2015,0.0537976447186223
"17025",2016,0.0520799055988833
"17027",2000,0.0255788470134936
"17027",2001,0.0255788470134936
"17027",2002,0.0272126137052759
"17027",2003,0.0267454798845157
"17027",2004,0.0251734590650905
"17027",2005,0.0274933401775363
"17027",2006,0.0277232912706773
"17027",2007,0.0284231537572142
"17027",2008,0.039700543427754
"17027",2009,0.0434570364804667
"17027",2010,0.04990658442631
"17027",2011,0.0490111046435057
"17027",2012,0.0405981935725231
"17027",2013,0.0391041322571598
"17027",2014,0.0365238809748202
"17027",2015,0.0376231600236563
"17027",2016,0.0364344358148026
"17029",2000,0.0400683167096517
"17029",2001,0.0400683167096517
"17029",2002,0.0443638078719552
"17029",2003,0.0435278345090276
"17029",2004,0.0414694519662141
"17029",2005,0.0445605798271424
"17029",2006,0.0448268750930394
"17029",2007,0.0439503727530945
"17029",2008,0.0572771858616607
"17029",2009,0.0666306391149421
"17029",2010,0.0746679143258669
"17029",2011,0.0688136772417824
"17029",2012,0.0610365735045522
"17029",2013,0.0573778175689909
"17029",2014,0.0514274198552197
"17029",2015,0.0573945120728493
"17029",2016,0.0541880084825087
"17031",2000,0.0298456069491354
"17031",2001,0.0298456069491354
"17031",2002,0.0322535861389335
"17031",2003,0.0324930346760738
"17031",2004,0.0309869774407428
"17031",2005,0.032255690928867
"17031",2006,0.0306746696497475
"17031",2007,0.0294196076192279
"17031",2008,0.0394936872525753
"17031",2009,0.0498348544767117
"17031",2010,0.0563345137462299
"17031",2011,0.052479072633251
"17031",2012,0.0432651645351778
"17031",2013,0.0409559655817797
"17031",2014,0.0369151022084759
"17031",2015,0.0365580664538442
