"fips","year","race","less_12","college"
"01033",2015,1,0.190099101739346,0.139663630969748
"01035",2000,0,0.281361337956336,0.103536403955596
"01035",2000,1,0.389176022448009,0.07487437357033
"01035",2010,0,0.226970361616423,0.129776199100285
"01035",2010,1,0.363972732203228,0.0542594792637954
"01035",2015,0,0.205411509037974,0.108842473457997
"01035",2015,1,0.243506802857727,0.0476240468096981
"01037",2000,0,0.294399641658972,0.104136382887277
"01037",2000,1,0.44280474110609,0.0313973614467617
"01037",2010,0,0.245684838713629,0.131858508464199
"01037",2010,1,0.327159285003985,0.0473807439468004
"01037",2015,0,0.236485200319379,0.0940691342329654
"01037",2015,1,0.319163196457186,0.0616067253624313
"01039",2000,0,0.306787268156354,0.129630109850282
"01039",2000,1,0.390342908042029,0.0573488472095407
"01039",2010,0,0.217741378117688,0.144570127166099
"01039",2010,1,0.319387428247695,0.0446247214372566
"01039",2015,0,0.195642917533739,0.152313171735806
"01039",2015,1,0.260907145439898,0.0655485788372869
"01041",2000,0,0.36800641378416,0.129701573322528
"01041",2000,1,0.511434496865777,0.0514764748047852
"01041",2010,0,0.266453379098646,0.114640543260751
"01041",2010,1,0.259059685533682,0.0334112750171642
"01041",2015,0,0.20238016038666,0.146026830591982
"01041",2015,1,0.278837559014382,0.104891768751698
"01043",2000,0,0.295375411951428,0.120332928200957
"01043",2000,1,0.344158759923286,0.0918341694638698
"01043",2005,0,0.24096044416138,0.126461484770444
"01043",2010,0,0.225271888442916,0.14109816884462
"01043",2010,1,0.36519620704871,0.111394766301182
"01043",2015,0,0.178338881960147,0.146602897928013
"01043",2015,1,0.302669776793589,0.0285648031594505
"01045",2000,0,0.202627289702839,0.152271927608672
"01045",2000,1,0.302406500103489,0.079879497030626
"01045",2010,0,0.149372881800811,0.189286145527569
"01045",2010,1,0.275311274363216,0.109716225305129
"01045",2015,0,0.126518105226116,0.177800573505168
"01045",2015,1,0.213363922178565,0.102940076091193
"01047",2000,0,0.198917681815214,0.20426174936283
"01047",2000,1,0.370690537452244,0.0886644594558025
"01047",2010,0,0.145231448247422,0.187081484818294
"01047",2010,1,0.280576502716706,0.114706304790846
"01047",2015,0,0.135789034614954,0.211587088380549
"01047",2015,1,0.259660895865614,0.102703652935112
"01049",2000,0,0.356259102342076,0.083357059361776
"01049",2000,1,0.382198523574196,0.0247030415049367
"01049",2005,0,0.329214568491575,0.104951942365958
"01049",2010,0,0.284347469576824,0.115224664312108
"01049",2010,1,0.278009799865533,0.0352075921862685
"01049",2015,0,0.245387963881821,0.112215555163409
"01049",2015,1,0.332324866919186,0.026474256825553
"01051",2000,0,0.179722179406618,0.189732799608962
"01051",2000,1,0.410356336014576,0.0650386495863854
"01051",2005,0,0.129544896572212,0.201952200700869
"01051",2005,1,0.275609823256793,0.0456321031288603
"01051",2010,0,0.131646195649365,0.234011830797347
"01051",2010,1,0.273424673613376,0.0791561104650789
"01051",2015,0,0.115757384368239,0.233843036982157
"01051",2015,1,0.202305933401516,0.130076481742318
"01053",2000,0,0.263296572826312,0.127017097779616
"01053",2000,1,0.430051254997143,0.0613852697090785
"01053",2010,0,0.216027557467938,0.130691899055996
"01053",2010,1,0.366089048660675,0.063405964253043
"01053",2015,0,0.177838625586882,0.138063711870751
"01053",2015,1,0.238742425298429,0.109894493501129
"01055",2000,0,0.242694912741196,0.143496678421218
"01055",2000,1,0.361404033568946,0.0728422442453582
"01055",2005,0,0.232517757480613,0.134417642561916
