"fips","less_12","college","total_persons","year"
"06097",341362,609804,2425891,1990
"06099",223033,122757,851689,1990
"06101",30414,26453,148910,1990
"06103",11431,4300,42932,1990
"06105",3280,1718,12908,1990
"06107",130591,74065,458547,1990
"06109",8843,7642,48169,1990
"06111",299362,463096,1875451,1990
"06113",46749,106179,295795,1990
"06115",38564,11198,125059,1990
"06NA",13030679,18340090,69354122,1990
"06001",445040,1035764,3178324,1990
"06003",252,1192,4184,1990
"06005",24091,20889,142274,1990
"06007",208610,211419,1019505,1990
"06009",28548,23143,158776,1990
"06011",17574,7819,60428,1990
"06013",278669,809446,2445140,1990
"06015",27656,10662,98997,1990
"06017",91187,142302,678684,1990
"06019",706202,609951,2905017,1990
"06021",29564,10287,102480,1990
"06023",97948,112030,541461,1990
"06025",143654,38458,333569,1990
"06027",14696,12924,89071,1990
"06029",598863,395462,2466051,1990
"06031",82872,33592,301544,1990
"06033",71244,27547,255715,1990
"06035",29621,14753,115156,1990
"06037",4706703,5157425,20124883,1990
"06039",92089,42496,313001,1990
"06041",53436,395916,862432,1990
"06043",14055,11805,68278,1990
"06045",70045,66109,357797,1990
"06047",204638,103321,707105,1990
"06049",11364,5042,43457,1990
"06051",5246,10556,46775,1990
"06053",129937,197020,726392,1990
"06055",56298,68294,323875,1990
"06057",54498,87801,397129,1990
"06059",1170300,2125138,7447206,1990
"06061",147238,245272,1056406,1990
"06063",16482,15032,98364,1990
"06065",620035,457065,2877807,1990
"06067",911414,1491538,6105308,1990
"06069",29312,21601,124501,1990
"06071",728442,526198,3346949,1990
"06073",1009120,1966314,7073972,1990
"06075",248208,837462,1878720,1990
"06077",654520,342952,2384851,1990
"06079",153567,257282,1050479,1990
"06081",285708,627602,1990110,1990
"06083",300464,608323,2074528,1990
"06085",600327,1401406,4120285,1990
"06087",101116,214479,695514,1990
"06089",187747,131678,911215,1990
"06091",4365,2816,17702,1990
"06093",44303,29516,203586,1990
"06095",121597,147625,803940,1990
"06097",137662,248736,989473,1990
"06099",531775,279639,1978093,1990
"06101",73236,58667,343226,1990
"06103",59845,23458,225974,1990
"06105",15700,8420,63122,1990
"06107",372841,185671,1233987,1990
"06109",42731,36970,233839,1990
"06111",299362,463096,1875451,1990
"06113",112869,233415,690997,1990
"06115",87638,27998,293905,1990
"08NA",1160594,2590428,8645277,1990
"08001",330575,223759,1667528,1990
"08003",9802,12654,47657,1990
"08005",209116,967513,2679075,1990
"08007",4012,4755,22948,1990
"08009",6311,3159,23058,1990
"08011",6232,3608,24200,1990
"08013",114274,626563,1468692,1990
"08015",11528,9606,63121,1990
"08017",2085,1348,11238,1990
"08019",3203,11644,38004,1990
"08021",10240,3324,28312,1990
"08023",5037,1348,12881,1990
"08025",5526,1515,18009,1990
"08027",1606,1736,9529,1990
"08029",27366,14771,105263,1990
"08031",491964,1011324,2981544,1990
"08033",2045,690,7173,1990
"08035",17052,147110,352042,1990
"08037",7906,35678,102300,1990
"08039",6994,8263,43790,1990
"08041",260098,667578,2451920,1990
"08043",39723,19918,164372,1990
"08045",20619,31090,142822,1990
"08047",1117,4623,15684,1990
"08049",4805,11888,39138,1990
"08051",3878,15603,42026,1990
"08053",171,842,2657,1990
"08055",10415,3737,30057,1990
"08057",1393,1226,7937,1990
"08059",307184,954228,3120132,1990
"08061",2567,767,8381,1990
"08063",8844,5515,34300,1990
"08065",4613,4710,26715,1990
"08067",17221,39888,135125,1990
"08069",114888,371170,1098075,1990
"08071",19135,8363,62306,1990
"08073",5820,2994,23138,1990
"08075",16933,12132,84083,1990
"08077",110532,103519,574949,1990
"08079",473,562,3142,1990
"08081",10000,8721,51795,1990
"08083",17464,13339,77501,1990
"08085",28647,18568,116705,1990
"08087",27880,12173,95448,1990
"08089",22812,12155,84411,1990
"08091",1334,3339,11803,1990
"08093",3064,7641,34377,1990
"08095",4700,3100,21961,1990
"08097",3107,35464,69458,1990
"08099",14090,7519,55533,1990
"08101",198507,118245,787399,1990
"08103",5004,4230,27364,1990
"08105",13052,8682,46565,1990
"08107",5555,24164,68941,1990
"08109",4977,2798,17354,1990
"08111",635,883,3639,1990
"08113",1176,7695,18792,1990
"08115",4140,1268,14319,1990
"08117",2755,25391,63056,1990
"08119",4688,16326,60407,1990
"08121",5742,2776,23720,1990
"08123",162367,146288,728656,1990
"08125",9485,5825,43885,1990
"35NA",481627,714378,2608901,1990
"35001",436761,875093,2916362,1990
"35003",3155,2274,12052,1990
"35005",66830,36788,233133,1990
"35006",20710,7379,65464,1990
"35007",15133,8900,55881,1990
"35009",30196,24557,154642,1990
"35011",4178,1285,11328,1990
"35013",206218,168527,726103,1990
"35015",58905,24853,200065,1990
"35017",35105,20253,120686,1990
"35019",5790,814,14778,1990
"35021",1214,699,3987,1990
"35023",6728,2895,24020,1990
"35025",68970,27667,216016,1990
"35027",12656,9793,58815,1990
"35028",5678,57022,106804,1990
"35029",32825,9386,80983,1990
"35031",12777,19857,70157,1990
"35033",3897,1954,11259,1990
"35035",32642,32456,195841,1990
"35037",11573,5065,43296,1990
"35039",39668,13496,113881,1990
"35041",17211,12611,60867,1990
"35043",44028,66201,289422,1990
"35045",49969,42200,246707,1990
"35047",22958,15252,78605,1990
"35049",87985,213418,585087,1990
"35051",19543,4725,54572,1990
"35053",15708,10770,53431,1990
"35055",20736,18994,83993,1990
"35057",10747,4782,41340,1990
"35059",7268,2508,20222,1990
"35061",42711,23494,172675,1990
"09NA",1795198,2403456,8742847,1990
"09001",946899,1938421,5441017,1990
"09003",1116800,1459467,5436118,1990
"09005",192523,239383,987961,1990
"09007",152522,245312,873292,1990
"09009",1140919,1288487,5284863,1990
"09011",292559,337484,1543204,1990
"09013",99723,183512,651271,1990
"09015",134611,77892,468558,1990
"23NA",382609,374314,1831399,1990
"23001",201616,88570,696926,1990
"23003",119753,51516,410806,1990
"23005",233062,427755,1551087,1990
"23007",26419,23020,129773,1990
"23009",37890,48459,226362,1990
"23011",119059,100744,560247,1990
"23013",34992,35930,182351,1990
"23015",27498,33096,147975,1990
"23017",58954,31974,253796,1990
"23019",168313,160861,835605,1990
"23021",21989,11310,90196,1990
"23023",29896,34423,158974,1990
"23025",65643,24439,233372,1990
"23027",35154,26553,156275,1990
"23029",43067,21113,162590,1990
"23031",175166,165344,863029,1990
"44NA",861299,623006,2976767,1990
"44001",96330,102386,370052,1990
"44003",285996,243871,1219265,1990
"44005",94473,164432,545222,1990
"44007",1288971,764704,4024138,1990
"44009",98225,165325,572656,1990
"50NA",119548,173598,654018,1990
"50001",25918,35816,143290,1990
"50003",38340,40018,171934,1990
"50005",28755,24146,126793,1990
"50007",108405,269572,797558,1990
"50009",9832,2579,30551,1990
"50011",45130,26002,180296,1990
"50013",5547,5516,26740,1990
"50015",17518,20978,88216,1990
"50017",22778,25298,116159,1990
"50019",32618,15614,111443,1990
"50021",61989,61264,300069,1990
"50023",49732,64121,264411,1990
"50025",36798,50365,201242,1990
"50027",49419,61650,263648,1990
"11NA",54816,546036,791862,1990
"11001",109632,1092072,1583724,1990
"10NA",225637,322733,1248997,1990
