"fips","in_mig","out_mig","net_mig","year"
"16079",2782,3757,-975,2000
"16081",1392,1225,167,2000
"16083",12253,12335,-82,2000
"16085",2057,2839,-782,2000
"16087",2232,2255,-23,2000
"17001",7919,10678,-2759,2000
"17003",1691,1487,204,2000
"17005",4473,3883,590,2000
"17007",9810,7560,2250,2000
"17009",2156,1030,1126,2000
"17011",4878,5392,-514,2000
"17013",649,743,-94,2000
"17015",2453,2776,-323,2000
"17017",1976,2917,-941,2000
"17019",49864,42486,7378,2000
"17021",4376,5607,-1231,2000
"17023",2665,3583,-918,2000
"17025",1757,2066,-309,2000
"17027",4980,4865,115,2000
"17029",14142,9837,4305,2000
"17031",371651,749553,-377902,2000
"17033",2458,2760,-302,2000
"17035",1762,2042,-280,2000
"17037",27738,18339,9399,2000
"17039",2662,3404,-742,2000
"17041",2767,3400,-633,2000
"17043",164542,193927,-29385,2000
"17045",2228,3643,-1415,2000
"17047",988,1084,-96,2000
"17049",4574,6923,-2349,2000
"17051",4041,2748,1293,2000
"17053",2648,2951,-303,2000
"17055",5191,5401,-210,2000
"17057",5595,5266,329,2000
"17059",856,946,-90,2000
"17061",2071,2757,-686,2000
"17063",7541,6444,1097,2000
"17065",1368,1063,305,2000
"17067",2386,3765,-1379,2000
"17069",665,707,-42,2000
"17071",1322,1399,-77,2000
"17073",7383,9053,-1670,2000
"17075",4369,5826,-1457,2000
"17077",18505,16574,1931,2000
"17079",1192,2510,-1318,2000
"17081",6357,4974,1383,2000
"17083",4001,3303,698,2000
"17085",3740,3458,282,2000
"17087",3465,1910,1555,2000
"17089",75967,71104,4863,2000
"17091",14937,15645,-708,2000
"17093",15192,9317,5875,2000
"17095",9226,9058,168,2000
"17097",129543,115870,13673,2000
"17099",14904,16940,-2036,2000
"17101",2005,2298,-293,2000
"17103",6618,5991,627,2000
"17105",7392,5696,1696,2000
"17107",6034,4796,1238,2000
"17109",9544,6276,3268,2000
"17111",55488,43735,11753,2000
"17113",38342,26172,12170,2000
"17115",14898,18016,-3118,2000
"17117",6854,8154,-1300,2000
"17119",34402,35466,-1064,2000
"17121",5456,6721,-1265,2000
"17123",1961,2467,-506,2000
"17125",1969,3700,-1731,2000
"17127",2125,2063,62,2000
"17129",2624,2389,235,2000
"17131",2885,2766,119,2000
"17133",5557,3491,2066,2000
"17135",4502,3903,599,2000
"17137",5918,5305,613,2000
"17139",2520,2754,-234,2000
"17141",9164,9716,-552,2000
"17143",26305,35028,-8723,2000
"17145",3665,2685,980,2000
"17147",2836,3710,-874,2000
"17149",2070,2334,-264,2000
"17151",1102,1036,66,2000
"17153",991,1152,-161,2000
"17155",1116,955,161,2000
"17157",4866,5048,-182,2000
"17159",2197,3670,-1473,2000
"17161",19417,26692,-7275,2000
"17163",34911,45707,-10796,2000
"17165",3628,3679,-51,2000
"17167",23609,29096,-5487,2000
"17169",939,1238,-299,2000
"17171",828,830,-2,2000
"17173",3492,3807,-315,2000
"17175",985,1123,-138,2000
"17177",6923,7647,-724,2000
"17179",18291,19374,-1083,2000
"17181",2706,2692,14,2000
"17183",8455,11352,-2897,2000
"17185",1772,2032,-260,2000
"17187",3291,3189,102,2000
"17189",2303,2396,-93,2000
"17191",2004,2799,-795,2000
"17193",2101,2785,-684,2000
"17195",6577,9235,-2658,2000
"17197",124411,72932,51479,2000
"17199",10121,8622,1499,2000
"17201",31970,37474,-5504,2000
