"year","fips","labor_force","employed","unemployed","percent_unemployment"
NA,"NANA",NA,NA,NA,NA
"1990","13311",6831,6510,321,4.7
"1990","13313",39617,37464,2153,5.4
"1990","13315",2861,2721,140,4.9
"1990","13317",4837,4576,261,5.4
"1990","13319",4623,4439,184,4
"1990","13321",8987,8437,550,6.1
"1990","15001",58415,56163,2252,3.9
"1990","15003",408983,400196,8787,2.1
"1990","15007",26142,25114,1028,3.9
"1990","15009",57382,54743,2639,4.6
"1990","16001",110727,106604,4123,3.7
"1990","16003",1605,1413,192,12
"1990","16005",31222,29081,2141,6.9
"1990","16007",2371,2246,125,5.3
"1990","16009",3543,3161,382,10.8
"1990","16011",18323,17336,987,5.4
"1990","16013",8319,8073,246,3
"1990","16015",1524,1435,89,5.8
"1990","16017",11993,10894,1099,9.2
"1990","16019",38567,37162,1405,3.6
"1990","16021",3470,3166,304,8.8
"1990","16023",1444,1382,62,4.3
"1990","16025",462,434,28,6.1
"1990","16027",42644,39903,2741,6.4
"1990","16029",2955,2813,142,4.8
"1990","16031",8405,7804,601,7.2
"1990","16033",549,534,15,2.7
"1990","16035",3901,3391,510,13.1
"1990","16037",2192,2093,99,4.5
"1990","16039",7931,7480,451,5.7
"1990","16041",3809,3679,130,3.4
"1990","16043",4970,4565,405,8.1
"1990","16045",5223,4878,345,6.6
"1990","16047",5203,4999,204,3.9
"1990","16049",6079,5568,511,8.4
"1990","16051",8053,7640,413,5.1
"1990","16053",6953,6632,321,4.6
"1990","16055",34729,32131,2598,7.5
"1990","16057",13989,13317,672,4.8
"1990","16059",3225,2972,253,7.8
"1990","16061",1502,1385,117,7.8
"1990","16063",2006,1934,72,3.6
"1990","16065",8485,8113,372,4.4
"1990","16067",8891,8270,621,7
"1990","16069",19464,18709,755,3.9
"1990","16071",1398,1353,45,3.2
"1990","16073",3726,3546,180,4.8
"1990","16075",8640,7906,734,8.5
"1990","16077",3300,3016,284,8.6
"1990","16079",6088,5523,565,9.3
"1990","16081",1820,1748,72,4
"1990","16083",25373,24228,1145,4.5
"1990","16085",3253,2979,274,8.4
"1990","16087",4168,3762,406,9.7
"1990","17001",34115,32478,1637,4.8
