"fips","year","new_total_mds"
"18041",2015,19
"18043",2015,156
"18045",2015,5
"18047",2015,33
"18049",2015,16
"18051",2015,19
"18053",2015,73
"18055",2015,16
"18057",2015,1744
"18059",2015,151
"18061",2015,33
"18063",2015,256
"18065",2015,43
"18067",2015,131
"18069",2015,39
"18071",2015,54
"18073",2015,13
"18075",2015,8
"18077",2015,47
"18079",2015,14
"18081",2015,291
"18083",2015,66
"18085",2015,64
"18087",2015,18
"18089",2015,784
"18091",2015,133
"18093",2015,38
"18095",2015,150
"18097",2015,4019
"18099",2015,38
"18101",2015,3
"18103",2015,15
"18105",2015,335
"18107",2015,25
"18109",2015,74
"18111",2015,3
"18113",2015,22
"18115",2015,2
"18117",2015,15
"18119",2015,4
"18121",2015,8
"18123",2015,16
"18125",2015,1
"18127",2015,270
"18129",2015,9
"18131",2015,5
"18133",2015,25
"18135",2015,9
"18137",2015,2
"18139",2015,10
"18141",2015,733
"18143",2015,16
"18145",2015,24
"18147",2015,7
"18149",2015,9
"18151",2015,21
"18153",2015,13
"18155",2015,1
"18157",2015,397
"18159",2015,10
"18161",2015,3
"18163",2015,483
"18165",2015,7
"18167",2015,289
"18169",2015,17
"18171",2015,2
"18173",2015,276
"18175",2015,16
"18177",2015,132
"18179",2015,32
"18181",2015,15
"18183",2015,23
"19001",2015,3
"19003",2015,0
"19005",2015,5
"19007",2015,8
"19009",2015,1
"19011",2015,2
"19013",2015,291
"19015",2015,15
"19017",2015,17
"19019",2015,10
"19021",2015,13
"19023",2015,4
"19025",2015,4
"19027",2015,22
"19029",2015,10
"19031",2015,7
"19033",2015,157
"19035",2015,7
"19037",2015,5
"19039",2015,2
"19041",2015,29
"19043",2015,3
"19045",2015,53
"19047",2015,10
"19049",2015,109
"19051",2015,1
"19053",2015,3
"19055",2015,11
"19057",2015,77
"19059",2015,17
"19061",2015,218
"19063",2015,6
"19065",2015,7
"19067",2015,8
"19069",2015,1
"19071",2015,1
"19073",2015,4
"19075",2015,3
