GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC03_EST_VC15,"Female; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC03_MOE_VC15,"Female; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC04_EST_VC15,"Median earnings (dollars); Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC04_MOE_VC15,"Median earnings (dollars); Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC05_EST_VC15,"Median earnings (dollars) for male; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC05_MOE_VC15,"Median earnings (dollars) for male; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC06_EST_VC15,"Median earnings (dollars) for female; Estimate; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC06_MOE_VC15,"Median earnings (dollars) for female; Margin of Error; Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HC01_EST_VC16,"Total; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC01_MOE_VC16,"Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC02_EST_VC16,"Male; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC02_MOE_VC16,"Male; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC03_EST_VC16,"Female; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC03_MOE_VC16,"Female; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC04_EST_VC16,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC04_MOE_VC16,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC05_EST_VC16,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC05_MOE_VC16,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC06_EST_VC16,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services:"
HC06_MOE_VC16,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services:"
HC01_EST_VC17,"Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC01_MOE_VC17,"Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC02_EST_VC17,"Male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC02_MOE_VC17,"Male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC03_EST_VC17,"Female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC03_MOE_VC17,"Female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC04_EST_VC17,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC04_MOE_VC17,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC05_EST_VC17,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC05_MOE_VC17,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC06_EST_VC17,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC06_MOE_VC17,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HC01_EST_VC18,"Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC01_MOE_VC18,"Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC02_EST_VC18,"Male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC02_MOE_VC18,"Male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC03_EST_VC18,"Female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC03_MOE_VC18,"Female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
