GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US04015,04015,"Mohave County, Arizona",119056,1421,58199,652,2083,596,6549,1257,20352,1981,16373,1842,3436,822,6056,1277,3350,1139,60857,940,2331,822,7890,1425,24115,2322,16677,2284,3661,1121,4116,1019,2067,617
0500000US04017,04017,"Navajo County, Arizona",30031,1005,14624,523,823,605,973,535,3516,995,4790,1121,960,458,2352,764,1210,588,15407,807,291,242,1334,527,3747,1022,6156,1220,1051,334,1070,470,1758,646
0500000US04019,04019,"Pima County, Arizona",453106,4173,217390,2355,6488,1289,14794,2367,47722,3182,53040,2861,16372,2168,44167,2414,34807,2722,235716,2444,7838,1661,14350,1915,57317,3072,60359,3528,20981,1928,46114,2596,28757,1867
0500000US04021,04021,"Pinal County, Arizona",107679,2143,52998,1248,2707,832,5074,1031,16377,1895,14731,1873,4367,1184,6250,975,3492,826,54681,1266,1678,586,5305,1082,17669,1625,14615,1391,5173,1066,6726,999,3515,856
0500000US04025,04025,"Yavapai County, Arizona",129082,1193,61543,746,1630,556,5186,1096,17223,2115,16442,2162,5594,1493,9034,1539,6434,1294,67539,729,1518,547,5700,1436,21163,2061,18044,1787,6298,1151,9618,1792,5198,1057
0500000US04027,04027,"Yuma County, Arizona",84662,2830,40197,1545,5542,1101,5425,1150,11864,1478,8148,1262,2862,785,3882,870,2474,696,44465,1579,6317,1129,5760,1205,14385,1513,9032,1331,2731,623,4158,1004,2082,738
0500000US05007,05007,"Benton County, Arkansas",108415,2040,53154,908,3374,937,3703,833,15302,1834,13210,1575,2206,709,10038,1465,5321,1139,55261,1220,3028,767,5724,1327,17090,1894,11416,1365,3910,965,10465,1424,3628,887
0500000US05031,05031,"Craighead County, Arkansas",49027,469,23733,243,1137,484,3205,931,7474,1210,3966,897,698,372,4308,1176,2945,832,25294,253,930,383,2500,711,10243,1513,5033,929,904,411,3098,761,2586,661
0500000US05045,05045,"Faulkner County, Arkansas",50996,302,24684,157,795,307,2454,731,7762,1185,6600,928,653,312,4120,780,2300,698,26312,210,583,322,2041,621,7861,1357,7028,1106,1350,480,5047,933,2402,626
0500000US05051,05051,"Garland County, Arkansas",58097,271,27312,152,1459,654,2142,812,8283,1361,6661,1335,2303,651,4216,883,2248,643,30785,213,1665,676,3440,914,10701,1458,7477,1399,1751,663,4167,963,1584,512
